property_name,property_locality,location,property_city,price,feature,property_type,property_size_in_sqft,property_size_in_sqm,bedrooms,bathrooms
Aseel,,Arabian Ranches,Dubai,"16,999,998",Exclusive | Luxury Living | Turn Key,Villa,5890,547,5  + Maid,6
Al Reem 3,Al Reem,Arabian Ranches,Dubai,"5,899,000",Exclusive Beautiful Large Plot Private Pool,Villa,2436,226,3,3
Collective Tower 1,Collective,Dubai Hills Estate,Dubai,"1,775,000",Exclusive | Vacant | Sidra Villas View,Apartment,722,67,2,1
Al Jazi,Madinat Jumeirah Living,Umm Suqeim,Dubai,"2,050,000",Priced to Sell | Garden Views | High Floor,Apartment,727,68,1,1
Arabella Townhouses 1,Arabella Townhouses,Mudon,Dubai,"3,800,000",3 Bed Semi Detached | Upgraded | Single Row,Townhouse,3129,291,3  + Maid,4
Bungalow Area,Green Community,Dubai Investment Park (DIP),Dubai,"8,200,000",Beautifully Upgraded | Main Park,Villa,4347,404,4,4
Pomona Residence,,Jumeirah Village Triangle,Dubai,"5,100,000","4,241 sq.ft BUA | 4 Bed + Maids | Must See",Townhouse,4241,394,4  + Maid,5
Rukan 3,,Dubai Land,Dubai,"1,650,000",Keys In Hand | Maids Room | Brand New,Townhouse,849,79,2,3
Terrace Apartments,Green Community,Dubai Investment Park (DIP),Dubai,"3,700,000",Peaceful Lake View | Upgraded | 3 Bed,Apartment,3450,321,3,4
Elvira,Park Heights,Dubai Hills Estate,Dubai,"2,500,000",Resale | Modern Layout |  Prime Location,Apartment,1063,99,2,2
Al Reem 1,Al Reem,Arabian Ranches,Dubai,"4,800,000",Open House! Saturday 12th April | 1pm - 4pm,Villa,2456,228,3  + Maid,3
Springs 11,,The Springs,Dubai,"5,150,000",Well Presented with Extended Kitchen Type,Villa,2456,228,3,2
Seventh Heaven,,Al Barari,Dubai,"5,200,000",Exclusive | Rare Spacious Layout | Vacant,Apartment,2875,267,1,2
Legacy,,Jumeirah Park,Dubai,"11,700,000",Legacy I Away From Roads And Cables I District 2,Villa,4687,435,5  + Maid,6
Entertainment Foyer,Mediterranean Clusters,Jumeirah Islands,Dubai,"24,999,999",Custom design | Extended | Renovated,Villa,10289,956,4  + Maid,5
Azalea,,Arabian Ranches 2,Dubai,"6,100,000",Vacant Soon | Single Row | Type 2,Villa,3824,355,4,4
Signature Livings,,Jumeirah Village Circle,Dubai,"700,000",Pool View | Rented | Fitted Kitchen | JVC,Apartment,412,38,studio,1
The Pulse Beachfront 3,The Pulse,Dubai South (Dubai World Central),Dubai,"3,890,000",Expansive Plot | Close to Beach | Rooftop Terrace,Villa,2711,252,4  + Maid,5
Maple 3,Maple at Dubai Hills Estate,Dubai Hills Estate,Dubai,"6,650,000",Exclusive | Agents Excuse | Vacant,Villa,2700,251,5  + Maid,4
Jasmine Lane,,Jumeirah Golf Estates,Dubai,"4,500,000",Single Row | Motivated Seller | Easy to View,Townhouse,2219,206,3  + Maid,3
Acacia A,Park Heights,Dubai Hills Estate,Dubai,"3,000,000",VACANT - FULL PARK VIEW - UNOBESTRUCTED VIEW FUTURE,Apartment,1046,97,2,2
The Pulse Beachfront 3,The Pulse,Dubai South (Dubai World Central),Dubai,"3,850,000",Nearest villa to the beach | Rooftop Terrace,Villa,2711,252,4  + Maid,5
Harmony 3,Harmony,Tilal Al Ghaf,Dubai,"8,200,000",Single Row | Large Plot | Upgraded Unit,Villa,4016,373,4,5
Building 7,,City Walk,Dubai,"3,500,000",Luxury Top-Floor | Sunset Views | Spacious Terrace,Apartment,1216,113,1,2
Sadaf 4,Sadaf,Jumeirah Beach Residence,Dubai,"3,850,000",Marina View | Renovated | 3 Bedrooms,Apartment,1797,167,3,3
Green Community West,Green Community,Dubai Investment Park (DIP),Dubai,"13,000,000",Large Corner Plot | Perfect for Renovation,Villa,7250,674,6  + Maid,7
Janusia,The Roots DAMAC Hills 2,Damac Hills 2,Dubai,"2,000,000",Excellent Condition | Spacious Layout | Great Deal,Townhouse,2462,229,3,5
Janusia,The Roots DAMAC Hills 2,Damac Hills 2,Dubai,"2,000,000",Desert View | Near To Community Centre | Spacious,Townhouse,1946,181,3,5
Janusia,The Roots DAMAC Hills 2,Damac Hills 2,Dubai,"1,835,000",Near To Community Centre | Great Community,Townhouse,2450,228,3,5
Miraclz Tower by Danube,,Arjan,Dubai,"550,000",Modern Design |Great Amenities| Perfect Investment,Apartment,389,36,studio,1
Opal Gardens,District 11,Mohammed Bin Rashid City,Dubai,"13,300,000",Premium Villa | On Park |Spacious |Crystal Lagoon,Villa,8730,811,5  + Maid,6
Family Villa Area,Green Community,Dubai Investment Park (DIP),Dubai,"8,400,000",Perfectly Positioned | Huge Plot | Private Pool,Villa,6210,577,5,5
Ashjar F1,Ashjar,Al Barari,Dubai,"8,500,000",Rare Unit | Duplex | Large Layout,Apartment,4005,372,3,4
Carmen,Victory Heights,Dubai Sports City,Dubai,"14,700,000",Upgraded 5 Bed B Type | Golf Course Views,Villa,5832,542,5,6
Signature Villas Frond G,Signature Villas,Palm Jumeirah,Dubai,"78,000,000",Brand New | Luxury Villa | Furnished | Vacant,Villa,9800,910,6,7
Golf Place 2,Golf Place,Dubai Hills Estate,Dubai,"39,000,000",Exquisite | Golf Course Villa | Private Pool,Villa,1230,114,6  + Maid,7
Palace Beach Residence,EMAAR Beachfront,Dubai Harbour,Dubai,"4,900,000",Genuine Resale | Branded | Sea View,Apartment,1338,124,2,2
FIVE Palm Jumeirah,,Palm Jumeirah,Dubai,"37,000,000",Open House on 19th April | Sea and Marina Sky View,Villa,12305,1143,5,6
Sadaf 1,Sadaf,Jumeirah Beach Residence,Dubai,"3,050,000",Upgraded | Partial Sea View | Vacant Now,Apartment,1896,176,3,3
Camelia 2,Camelia,Arabian Ranches 2,Dubai,"3,200,000",Single Row | Big Plot | Serious Seller,Villa,1988,185,3  + Maid,4
